C1:1
C2:1
C3:1
J1:1
JP1:1
LED1:1
LED2:1
LED3:1
LED4:1
LED5:1
N1:1
N2:1
R1:1
R2:1
SW1:1
TP1:1
TP2:1
TP3:1
TP4:1
TP5:1
U1:1
